		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/01/16	1:00 a	4.2	5.2	4.2	88	2.4	0.9	SE	3.22	2.2	SE	4.0	4.1	3.9	1.1	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.590	0.000	20.5	36	4.9	18.9	7.23	 .0740	0.00	1373	1	100.0	60
01/01/16	2:00 a	3.2	4.2	3.1	91	1.8	0.9	E	3.22	3.1	E	2.9	3.1	2.8	-0.1	755.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.632	0.000	20.2	36	4.7	18.6	7.22	 .0740	0.00	1392	1	100.0	60
01/01/16	3:00 a	2.9	3.2	2.9	93	1.9	0.0	E	0.00	1.8	E	2.9	2.9	2.9	0.1	754.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.641	0.000	20.0	36	4.5	18.4	7.21	 .0741	0.00	1366	1	99.9	60
01/01/16	4:00 a	2.6	3.0	2.6	93	1.5	0.4	E	1.61	2.2	E	2.6	2.6	2.6	-0.3	755.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.657	0.000	19.8	36	4.3	18.2	7.20	 .0741	0.00	1389	1	100.0	60
01/01/16	5:00 a	2.6	2.6	2.4	94	1.7	0.9	SE	3.22	3.6	SE	2.3	2.6	2.3	-0.6	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.655	0.000	19.7	35	3.8	17.9	7.05	 .0742	0.00	1360	1	99.4	60
01/01/16	6:00 a	2.3	2.7	2.3	96	1.8	1.3	S	4.83	3.6	SSE	1.2	2.3	1.2	-1.7	755.6	0.00	0.0	1	0.09	14	0.0	0.00	0.0	0.667	0.000	19.4	35	3.6	17.7	7.05	 .0743	0.00	1371	1	100.0	60
01/01/16	7:00 a	2.6	2.6	2.3	96	2.0	0.9	S	3.22	2.2	SSE	2.3	2.6	2.3	1.7	755.8	0.00	0.0	61	5.25	109	0.0	0.00	0.5	0.655	0.000	19.4	35	3.6	17.7	7.05	 .0743	0.03	1393	1	100.0	60
01/01/16	8:00 a	4.2	4.2	2.6	97	3.7	0.9	ESE	3.22	2.7	ESE	4.0	4.2	4.1	5.9	755.9	0.00	0.0	232	19.95	497	1.5	0.35	3.1	0.590	0.000	20.2	35	4.3	18.6	7.05	 .0741	0.10	1394	1	100.0	60
01/01/16	9:00 a	7.7	7.7	4.2	84	5.2	1.3	WNW	4.83	3.1	WNW	7.3	7.7	7.3	11.4	755.9	0.00	0.0	600	51.61	708	4.4	1.04	5.2	0.442	0.000	21.1	35	5.0	19.3	7.05	 .0739	0.25	1396	1	100.0	60
01/01/16	10:00 a	9.7	9.7	7.7	62	2.8	1.8	N	6.44	4.0	NNW	9.1	9.3	8.7	12.8	755.9	0.00	0.0	630	54.19	921	7.1	1.67	10.1	0.359	0.000	21.6	35	5.5	20.1	7.03	 .0737	0.28	1394	1	100.0	60
01/01/16	11:00 a	11.3	11.3	9.7	46	0.1	1.8	NNW	6.44	4.9	NNW	10.9	10.4	9.9	12.6	755.6	0.00	0.0	405	34.83	1044	11.5	2.71	12.9	0.292	0.000	22.4	35	6.2	21.2	7.00	 .0735	0.25	1371	1	100.0	60
01/01/16	12:00 p	12.7	12.8	11.3	40	-0.6	1.8	N	6.44	5.4	NW	12.5	11.4	11.2	13.8	755.4	0.00	0.0	1016	87.39	1194	11.8	2.78	14.3	0.234	0.000	23.1	35	6.8	22.2	6.98	 .0733	0.51	1353	1	98.9	60
01/01/16	1:00 p	13.4	14.2	12.7	57	5.1	1.3	N	4.83	9.4	WNW	13.4	12.6	12.6	17.3	754.4	0.00	0.0	772	66.40	1334	8.1	1.91	14.8	0.204	0.000	23.2	35	6.9	22.4	6.97	 .0731	0.43	1391	1	100.0	60
01/01/16	2:00 p	11.3	13.4	11.3	66	5.2	5.4	NW	19.31	8.9	NNW	8.3	10.8	7.8	9.7	753.0	0.00	0.0	344	29.59	1434	4.7	1.11	13.2	0.294	0.000	23.2	34	6.5	22.4	6.77	 .0730	0.28	1399	1	100.0	60
01/01/16	3:00 p	9.9	11.3	8.7	68	4.3	4.5	W	16.09	8.9	W	7.3	9.7	7.1	9.5	752.6	2.00	11.2	385	33.11	1172	4.2	0.99	9.8	0.350	0.000	23.1	35	6.8	22.2	6.98	 .0730	0.23	1390	1	100.0	60
01/01/16	4:00 p	7.4	9.9	7.4	83	4.7	4.0	N	14.48	8.9	N	4.7	7.3	4.6	3.9	752.9	0.20	0.0	71	6.11	169	0.6	0.14	1.6	0.456	0.000	22.8	35	6.5	21.8	6.99	 .0731	0.08	1387	1	100.0	60
01/01/16	5:00 p	5.7	7.4	5.7	86	3.5	2.7	SSW	9.66	5.8	WSW	3.5	5.6	3.4	1.6	754.1	3.00	9.0	10	0.86	19	0.0	0.00	0.0	0.528	0.000	22.4	35	6.2	21.2	7.00	 .0733	0.03	1389	1	100.0	60
01/01/16	6:00 p	3.8	5.7	3.8	91	2.5	2.2	SW	8.05	6.3	WSW	1.8	3.8	1.7	-0.9	755.7	3.00	6.6	8	0.69	18	0.0	0.00	0.0	0.604	0.000	22.3	36	6.5	21.1	7.17	 .0735	0.03	1398	1	100.0	60
01/01/16	7:00 p	2.0	3.8	1.9	94	1.1	2.2	NE	8.05	5.4	N	-0.4	2.0	-0.4	-3.1	756.7	2.20	3.2	0	0.00	0	0.0	0.00	0.0	0.681	0.000	22.1	36	6.3	20.8	7.18	 .0736	0.00	1390	1	100.0	60
01/01/16	8:00 p	2.2	2.2	1.9	95	1.5	1.3	N	4.83	4.5	NNW	1.0	2.2	1.0	-1.7	758.0	0.20	2.0	0	0.00	0	0.0	0.00	0.0	0.671	0.000	21.8	36	6.0	20.3	7.20	 .0739	0.00	1393	1	100.0	60
01/01/16	9:00 p	2.6	2.6	2.2	95	1.9	0.9	ENE	3.22	2.2	ENE	2.3	2.6	2.3	-0.4	759.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.655	0.000	21.6	36	5.9	20.1	7.21	 .0740	0.00	1348	1	98.5	60
01/01/16	10:00 p	3.1	3.1	2.6	95	2.3	1.3	ENE	4.83	3.6	E	1.9	3.1	1.9	-0.7	759.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.637	0.000	21.3	35	5.2	19.7	7.04	 .0742	0.00	1356	1	99.1	60
01/01/16	11:00 p	3.3	3.3	3.1	93	2.3	1.3	ENE	4.83	3.6	ENE	2.3	3.3	2.3	-0.4	759.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.625	0.000	21.1	35	5.0	19.3	7.05	 .0742	0.00	1391	1	100.0	60
02/01/16	12:00 a	3.4	3.4	3.3	92	2.2	1.3	E	4.83	3.1	NE	2.3	3.3	2.3	-0.4	759.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.623	0.000	20.8	35	4.7	19.1	7.05	 .0743	0.00	1391	1	100.0	60
02/01/16	1:00 a	3.4	3.4	3.3	90	1.9	0.9	ESE	3.22	3.1	ENE	3.2	3.3	3.1	0.4	758.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.623	0.000	20.3	35	4.3	18.6	7.05	 .0744	0.00	1393	1	100.0	60
02/01/16	2:00 a	3.3	3.4	3.2	90	1.8	1.3	ESE	4.83	3.1	E	2.2	3.2	2.2	-0.6	757.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.627	0.000	20.0	35	4.1	18.3	7.05	 .0744	0.00	1395	1	100.0	60
02/01/16	3:00 a	3.6	3.6	3.3	87	1.6	1.3	ESE	4.83	3.1	ESE	2.6	3.4	2.4	-0.3	757.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.616	0.000	19.8	35	3.9	18.2	7.05	 .0744	0.00	1390	1	100.0	60
02/01/16	4:00 a	3.3	3.6	3.3	89	1.7	0.9	SE	3.22	2.2	SE	3.1	3.3	3.1	0.3	757.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.625	0.000	19.7	35	3.8	17.9	7.05	 .0745	0.00	1397	1	100.0	60
02/01/16	5:00 a	3.5	3.5	3.2	84	1.0	1.3	ESE	4.83	2.7	ESE	2.4	3.4	2.3	-0.4	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.618	0.000	19.6	35	3.7	17.8	7.05	 .0745	0.00	1369	1	100.0	60
02/01/16	6:00 a	3.4	3.6	3.4	86	1.3	0.9	E	3.22	2.2	E	3.2	3.3	3.1	0.3	758.3	0.00	0.0	2	0.17	16	0.0	0.00	0.0	0.623	0.000	19.4	35	3.6	17.7	7.05	 .0746	0.00	1396	1	100.0	60
02/01/16	7:00 a	3.2	3.4	2.8	87	1.3	1.8	E	6.44	3.6	E	1.6	3.1	1.4	0.9	758.8	0.20	0.0	64	5.50	202	0.1	0.02	0.7	0.630	0.000	19.4	35	3.6	17.7	7.05	 .0746	0.03	1391	1	100.0	60
02/01/16	8:00 a	4.4	4.4	3.1	83	1.8	1.3	ESE	4.83	3.6	SE	3.5	4.3	3.4	4.4	759.2	0.00	0.0	174	14.97	584	1.5	0.35	3.3	0.581	0.000	20.1	35	4.2	18.4	7.05	 .0745	0.08	1391	1	100.0	60
02/01/16	9:00 a	5.9	5.9	4.4	80	2.7	1.3	NNW	4.83	4.0	NNW	5.2	5.7	5.0	9.0	759.3	0.00	0.0	610	52.47	721	4.5	1.06	5.0	0.519	0.000	20.9	35	4.8	19.2	7.05	 .0743	0.00	1392	1	100.0	60
02/01/16	10:00 a	7.6	7.7	5.9	75	3.4	0.9	N	3.22	3.1	N	7.6	7.3	7.3	11.5	758.6	0.00	0.0	624	53.67	907	6.8	1.60	10.2	0.449	0.000	21.4	35	5.3	19.8	7.04	 .0740	0.51	1393	1	100.0	60
02/01/16	11:00 a	9.8	9.8	7.5	68	4.1	0.4	N	1.61	2.7	NNW	9.8	9.5	9.5	12.9	758.0	0.00	0.0	480	41.29	1037	8.4	1.98	13.3	0.356	0.000	22.0	37	6.6	20.7	7.32	 .0738	0.23	1396	1	100.0	60
02/01/16	12:00 p	12.1	12.2	9.8	34	-3.4	0.9	N	3.22	4.0	ENE	12.1	10.7	10.7	13.1	757.8	0.00	0.0	1004	86.36	1116	11.9	2.81	14.3	0.262	0.000	22.4	37	7.0	21.3	7.30	 .0736	0.46	1392	1	100.0	60
02/01/16	1:00 p	13.3	13.3	12.0	33	-2.6	1.3	NNW	4.83	4.9	NNW	13.3	11.7	11.7	14.7	757.3	0.00	0.0	1002	86.18	1120	8.8	2.07	13.9	0.208	0.000	22.4	35	6.2	21.2	7.00	 .0736	0.51	1405	1	100.0	60
02/01/16	2:00 p	14.0	14.0	13.3	33	-2.0	1.3	N	4.83	4.5	NNE	14.0	12.3	12.3	16.8	756.4	0.00	0.0	1059	91.09	1099	12.5	2.95	13.7	0.181	0.000	22.7	35	6.4	21.6	6.99	 .0735	0.58	1388	1	100.0	60
02/01/16	3:00 p	14.8	15.1	13.5	25	-5.0	1.3	NNW	4.83	4.9	NNW	14.8	12.6	12.6	17.9	755.4	0.00	0.0	945	81.28	1013	9.4	2.22	11.2	0.146	0.000	22.9	34	6.2	22.0	6.78	 .0733	0.53	1392	1	100.0	60
02/01/16	4:00 p	14.3	15.1	14.3	26	-4.9	1.3	SW	4.83	4.9	SSW	14.3	12.2	12.2	15.6	754.8	0.00	0.0	428	36.81	874	4.0	0.94	6.9	0.167	0.000	22.9	34	6.2	22.0	6.78	 .0732	0.28	1389	1	100.0	60
02/01/16	5:00 p	12.8	14.3	12.8	60	5.3	2.2	ESE	8.05	5.4	ESE	12.3	12.1	11.6	13.2	753.7	0.00	0.0	192	16.51	454	1.5	0.35	2.1	0.229	0.000	22.9	34	6.2	22.0	6.78	 .0731	0.15	1389	1	100.0	60
02/01/16	6:00 p	10.4	13.2	10.4	68	4.7	4.5	WSW	16.09	8.9	S	7.8	10.1	7.5	7.1	753.4	0.00	0.0	230	19.78	510	0.3	0.07	1.3	0.331	0.000	22.6	32	5.0	21.3	6.50	 .0733	0.18	1391	1	100.0	60
02/01/16	7:00 p	8.1	10.4	8.1	74	3.7	4.0	NNW	14.48	8.0	NW	5.4	7.8	5.2	2.3	754.6	0.00	0.0	18	1.55	90	0.0	0.00	0.0	0.428	0.000	22.3	33	5.2	20.9	6.61	 .0734	0.05	1371	1	100.0	60
02/01/16	8:00 p	8.4	8.7	7.9	75	4.3	3.1	NNW	11.27	6.3	NNW	6.6	8.3	6.4	3.1	754.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.412	0.000	22.0	33	5.0	20.4	6.62	 .0735	0.03	1394	1	100.0	60
02/01/16	9:00 p	7.4	8.5	7.4	78	3.9	1.3	N	4.83	4.9	ENE	6.9	7.3	6.8	3.3	755.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.454	0.000	21.9	35	5.7	20.4	7.02	 .0736	0.03	1371	1	100.0	60
02/01/16	10:00 p	6.4	7.4	6.4	82	3.6	1.3	E	4.83	3.6	NW	5.8	6.3	5.7	2.3	755.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.495	0.000	21.7	37	6.4	20.3	7.33	 .0736	0.03	1392	1	100.0	60
02/01/16	11:00 p	6.7	6.8	6.4	80	3.5	0.9	SSE	3.22	2.2	SSE	6.7	6.6	6.6	3.2	755.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.484	0.000	21.4	35	5.3	19.8	7.04	 .0737	0.03	1367	1	99.9	60
03/01/16	12:00 a	6.0	6.8	6.0	85	3.7	1.8	SSE	6.44	4.5	SSE	4.8	5.9	4.7	1.3	754.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.514	0.000	20.7	35	4.6	19.0	7.05	 .0738	0.03	1394	1	100.0	60
03/01/16	1:00 a	4.9	5.9	4.8	86	2.8	0.4	SE	1.61	3.1	ESE	4.9	4.8	4.8	1.4	753.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.558	0.000	20.1	35	4.2	18.4	7.05	 .0740	0.00	1392	1	100.0	60
03/01/16	2:00 a	4.6	5.1	4.3	89	3.0	1.3	SE	4.83	3.1	E	3.7	4.6	3.7	0.2	753.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.572	0.000	19.8	35	3.9	18.2	7.05	 .0740	0.00	1373	1	100.0	60
03/01/16	3:00 a	4.7	5.0	4.6	92	3.5	1.3	SSE	4.83	3.1	SSE	3.8	4.7	3.8	0.3	752.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.569	0.000	19.7	35	3.8	18.0	7.05	 .0740	0.00	1393	1	100.0	60
03/01/16	4:00 a	4.8	4.8	4.4	92	3.6	1.3	SE	4.83	2.7	S	4.0	4.8	4.0	0.6	752.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.562	0.000	19.6	35	3.7	17.8	7.05	 .0740	0.00	1392	1	100.0	60
03/01/16	5:00 a	4.2	5.0	4.2	88	2.4	0.0	SE	0.00	1.8	SE	4.2	4.2	4.2	0.7	752.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.588	0.000	19.4	35	3.6	17.7	7.05	 .0741	0.00	1396	1	100.0	60
03/01/16	6:00 a	3.1	4.3	3.1	92	1.9	0.0	SSE	0.00	1.8	SSE	3.1	3.0	3.0	-0.5	753.9	0.00	0.0	1	0.09	9	0.0	0.00	0.0	0.637	0.000	19.3	35	3.4	17.6	7.05	 .0742	0.00	1371	1	100.0	60
03/01/16	7:00 a	3.5	3.5	2.9	92	2.3	0.9	ESE	3.22	3.6	ESE	3.3	3.4	3.2	3.1	754.7	0.00	0.0	83	7.14	221	0.2	0.05	0.8	0.618	0.000	19.4	35	3.6	17.7	7.05	 .0742	0.03	1391	1	100.0	60
03/01/16	8:00 a	6.1	6.1	3.5	85	3.8	0.9	ESE	3.22	2.2	ESE	6.1	6.1	6.1	9.3	755.0	0.00	0.0	363	31.22	506	1.8	0.42	3.2	0.509	0.000	20.1	35	4.2	18.4	7.05	 .0741	0.15	1388	1	100.0	60
03/01/16	9:00 a	7.7	7.7	6.1	66	1.8	1.3	SE	4.83	4.0	SE	7.3	7.3	6.9	8.9	754.9	0.00	0.0	306	26.32	902	3.3	0.78	5.9	0.442	0.000	20.6	35	4.6	18.9	7.05	 .0739	0.15	1372	1	100.0	60
03/01/16	10:00 a	9.7	9.7	7.7	59	2.1	1.8	ESE	6.44	8.9	SE	9.1	9.3	8.6	12.8	754.9	0.00	0.0	653	56.17	977	6.9	1.63	10.8	0.359	0.000	21.2	35	5.1	19.6	7.05	 .0737	0.30	1375	1	100.0	60
03/01/16	11:00 a	10.8	10.8	9.7	56	2.4	1.8	SW	6.44	6.3	SW	10.3	10.2	9.7	12.7	754.3	0.00	0.0	427	36.73	1218	9.7	2.29	14.4	0.313	0.000	21.9	36	6.1	20.4	7.19	 .0735	0.25	1371	1	100.0	60
03/01/16	12:00 p	12.4	12.4	10.7	47	1.4	1.8	SW	6.44	5.4	SW	12.1	11.3	11.1	15.7	753.7	0.00	0.0	820	70.53	1246	10.9	2.57	15.1	0.248	0.000	22.7	36	6.8	21.7	7.14	 .0732	0.41	1370	1	100.0	60
03/01/16	1:00 p	13.0	13.0	12.3	52	3.4	3.1	SSW	11.27	8.0	SW	12.1	12.1	11.1	14.6	753.0	0.00	0.0	1055	90.74	1345	9.2	2.17	15.2	0.222	0.000	22.8	36	6.9	21.8	7.13	 .0731	0.56	1391	1	100.0	60
03/01/16	2:00 p	13.3	13.3	12.7	51	3.4	3.6	SSW	12.87	7.2	SSW	12.1	12.3	11.1	15.7	751.8	0.00	0.0	1080	92.89	1267	11.8	2.78	14.4	0.208	0.000	22.7	35	6.4	21.6	6.99	 .0730	0.58	1399	1	100.0	60
03/01/16	3:00 p	14.3	14.3	13.3	49	3.8	4.0	SSW	14.48	8.0	S	12.8	13.2	11.7	16.7	750.8	0.00	0.0	923	79.39	1125	8.4	1.98	11.6	0.167	0.000	22.8	34	6.1	21.8	6.79	 .0729	0.53	1391	1	100.0	60
03/01/16	4:00 p	14.4	14.7	14.3	45	2.6	3.6	SSW	12.87	8.0	SW	13.3	13.1	12.1	19.6	750.4	0.00	0.0	856	73.63	995	6.0	1.41	8.1	0.164	0.000	23.2	34	6.5	22.4	6.77	 .0727	0.53	1391	1	100.0	60
03/01/16	5:00 p	14.2	14.4	13.9	42	1.4	3.6	SW	12.87	8.5	SW	13.1	12.8	11.7	18.7	750.5	0.00	0.0	550	47.31	788	2.3	0.54	4.2	0.174	0.000	23.3	34	6.6	22.6	6.77	 .0727	0.36	1399	1	100.0	60
03/01/16	6:00 p	12.2	14.2	12.2	60	4.7	4.0	SW	14.48	9.4	W	10.3	11.6	9.7	8.9	750.5	0.00	0.0	257	22.10	469	0.5	0.12	1.3	0.255	0.000	23.1	33	6.0	22.2	6.58	 .0728	0.23	1367	1	99.9	60
03/01/16	7:00 p	9.9	12.2	9.9	76	5.9	4.5	SW	16.09	8.5	WSW	7.3	9.8	7.2	4.0	751.3	0.00	0.0	9	0.77	47	0.0	0.00	0.0	0.350	0.000	23.1	33	5.9	22.1	6.58	 .0729	0.05	1393	1	100.0	60
03/01/16	8:00 p	8.4	9.9	8.4	84	5.8	3.6	SW	12.87	8.0	SW	6.1	8.4	6.1	2.6	752.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.414	0.000	22.8	33	5.7	21.7	6.59	 .0731	0.03	1375	1	100.0	60
03/01/16	9:00 p	7.7	8.4	7.7	88	5.9	2.7	SW	9.66	6.3	SE	6.0	7.8	6.1	2.2	753.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.442	0.000	22.4	33	5.4	21.1	6.60	 .0733	0.03	1395	1	100.0	60
03/01/16	10:00 p	8.2	8.2	7.6	84	5.7	1.8	SW	6.44	4.0	SSW	7.3	8.2	7.3	3.5	753.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.421	0.000	22.3	33	5.2	20.9	6.61	 .0734	0.03	1370	1	100.0	60
03/01/16	11:00 p	6.7	8.5	6.7	86	4.5	1.8	ENE	6.44	4.5	ENE	5.6	6.7	5.5	1.6	753.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.484	0.000	22.2	33	5.1	20.7	6.61	 .0734	0.03	1369	1	100.0	60
04/01/16	12:00 a	6.9	6.9	6.6	87	4.9	1.3	E	4.83	3.1	E	6.3	6.9	6.3	2.4	753.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.477	0.000	22.1	33	5.1	20.6	6.61	 .0733	0.00	1395	1	100.0	60
04/01/16	1:00 a	7.2	7.3	6.9	85	4.9	1.3	W	4.83	3.6	WSW	6.7	7.2	6.6	2.7	752.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.463	0.000	21.9	33	4.9	20.3	6.62	 .0733	0.03	1371	1	100.0	60
04/01/16	2:00 a	6.7	7.2	6.7	86	4.5	1.8	WSW	6.44	4.0	W	5.6	6.7	5.5	1.6	751.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.484	0.000	21.8	33	4.8	20.2	6.63	 .0733	0.03	1371	1	100.0	60
04/01/16	3:00 a	6.2	6.8	6.2	85	3.9	2.2	WSW	8.05	5.4	WSW	4.6	6.2	4.5	0.6	750.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.505	0.000	21.7	33	4.7	20.1	6.63	 .0732	0.03	1314	1	96.1	60
04/01/16	4:00 a	5.3	6.2	5.3	87	3.3	2.2	SW	8.05	5.8	SW	3.5	5.3	3.4	-0.4	751.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.542	0.000	21.2	33	4.2	19.3	6.65	 .0734	0.03	1395	1	100.0	60
04/01/16	5:00 a	5.3	5.3	5.2	88	3.5	1.3	W	4.83	4.0	S	4.5	5.2	4.4	0.6	751.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.544	0.000	20.6	33	3.7	18.8	6.67	 .0736	0.00	1389	1	100.0	60
04/01/16	6:00 a	5.7	5.8	5.2	85	3.4	1.3	WSW	4.83	4.0	W	5.0	5.6	4.9	1.0	752.2	0.00	0.0	1	0.09	7	0.0	0.00	0.0	0.525	0.000	20.3	33	3.5	18.5	6.68	 .0738	0.00	1392	1	100.0	60
04/01/16	7:00 a	6.0	6.0	5.7	80	2.8	2.7	WNW	9.66	5.4	WNW	3.9	5.8	3.8	2.5	752.8	0.00	0.0	31	2.67	67	0.0	0.00	0.0	0.514	0.000	20.2	33	3.4	18.4	6.68	 .0739	0.00	1397	1	100.0	60
04/01/16	8:00 a	6.9	6.9	6.0	74	2.6	1.8	WNW	6.44	4.9	WNW	5.8	6.7	5.6	6.1	753.3	0.00	0.0	146	12.56	244	0.8	0.19	1.4	0.477	0.000	20.9	33	4.1	19.1	6.66	 .0737	0.10	1393	1	100.0	60
04/01/16	9:00 a	7.8	7.8	6.9	71	2.8	1.8	SSW	6.44	4.0	W	6.8	7.5	6.5	7.8	753.8	0.00	0.0	239	20.56	401	2.2	0.52	3.3	0.440	0.000	21.6	34	5.1	20.0	6.83	 .0735	0.13	1372	1	100.0	60
04/01/16	10:00 a	9.4	9.4	7.8	66	3.4	2.2	W	8.05	5.8	NW	8.3	9.1	7.9	10.3	753.8	0.00	0.0	359	30.88	691	4.7	1.11	8.8	0.373	0.000	22.2	34	5.6	20.8	6.81	 .0734	0.00	1394	1	100.0	60
04/01/16	11:00 a	10.9	10.9	9.4	59	3.2	2.2	SSW	8.05	4.9	SSW	10.1	10.3	9.5	12.6	753.0	0.00	0.0	440	37.84	1190	8.5	2.00	13.9	0.310	0.000	22.8	34	6.1	21.8	6.79	 .0731	0.46	1397	1	100.0	60
04/01/16	12:00 p	11.6	11.8	10.9	57	3.4	1.3	NNW	4.83	5.4	N	11.6	10.9	10.9	13.2	752.2	0.00	0.0	353	30.36	1375	5.8	1.37	13.7	0.280	0.000	23.2	34	6.5	22.4	6.77	 .0729	0.00	1398	1	100.0	60
04/01/16	1:00 p	13.3	13.4	11.6	54	4.2	1.3	WNW	4.83	4.9	NW	13.3	12.4	12.4	17.0	751.4	0.00	0.0	716	61.58	1419	7.4	1.74	16.0	0.208	0.000	23.7	34	6.9	23.0	6.76	 .0727	0.66	1367	1	99.9	60
04/01/16	2:00 p	13.2	13.5	12.8	60	5.6	1.8	SSW	6.44	5.4	SW	13.1	12.5	12.4	15.6	750.5	0.00	0.0	448	38.53	1336	6.2	1.46	12.9	0.213	0.000	23.9	34	7.1	23.2	6.75	 .0726	0.30	1391	1	100.0	60
04/01/16	3:00 p	13.0	14.4	12.8	56	4.4	3.6	SW	12.87	7.6	SW	11.7	12.2	10.8	13.4	749.6	0.00	0.0	370	31.82	1313	4.8	1.13	12.4	0.222	0.000	24.0	34	7.2	23.3	6.75	 .0724	0.28	1403	1	100.0	60
04/01/16	4:00 p	13.1	13.1	12.9	55	4.2	3.1	SW	11.27	6.3	WSW	12.1	12.2	11.3	11.9	749.2	0.00	0.0	157	13.50	206	1.8	0.42	2.1	0.220	0.000	24.0	35	7.6	23.3	6.95	 .0724	0.15	1392	1	100.0	60
04/01/16	5:00 p	12.8	13.4	12.8	62	5.7	2.7	SW	9.66	6.3	SW	12.0	12.1	11.3	12.9	749.1	0.00	0.0	191	16.43	385	1.1	0.26	2.1	0.231	0.000	24.1	35	7.7	23.4	6.94	 .0723	0.15	1390	1	100.0	60
04/01/16	6:00 p	11.6	12.8	11.5	70	6.3	4.0	W	14.48	8.5	WNW	9.6	11.2	9.2	7.6	749.8	0.20	0.0	123	10.58	308	0.0	0.00	0.0	0.280	0.000	24.2	35	7.8	23.6	6.94	 .0724	0.13	1358	1	99.3	60
04/01/16	7:00 p	10.2	11.6	10.2	79	6.7	2.7	SW	9.66	6.7	WSW	8.9	10.1	8.9	5.8	750.8	0.00	0.0	23	1.98	49	0.0	0.00	0.0	0.340	0.000	24.1	36	8.1	23.5	7.04	 .0725	0.05	1358	1	99.3	60
04/01/16	8:00 p	8.5	10.1	8.4	85	6.1	2.2	SW	8.05	5.4	WSW	7.3	8.5	7.3	3.9	751.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.410	0.000	23.6	36	7.7	22.9	7.07	 .0727	0.03	1361	1	99.5	60
04/01/16	9:00 p	8.3	8.5	8.3	86	6.1	2.7	SW	9.66	4.9	WSW	6.7	8.3	6.7	3.4	752.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.417	0.000	22.9	38	7.9	22.2	7.42	 .0729	0.03	1396	1	100.0	60
04/01/16	10:00 p	7.6	8.3	7.5	90	6.1	1.3	SW	4.83	4.0	SSW	7.1	7.7	7.2	3.8	753.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.447	0.000	22.4	37	7.0	21.3	7.30	 .0732	0.00	1373	1	100.0	60
04/01/16	11:00 p	8.1	8.1	7.6	86	5.9	2.7	SW	9.66	4.5	SW	6.4	8.1	6.4	3.0	753.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.428	0.000	22.2	37	6.8	20.9	7.31	 .0733	0.03	1368	1	100.0	60
